source	target	weight	kind	origin
activation function	back prop	100.0	seed	label
activation function	forward propagation	100.0	seed	label
activation values	activation function	100.0	seed	label
activation values	back prop	100.0	seed	label
activation values	forward propagation	100.0	seed	label
anomalous example	anomaly detection	100.0	seed	label
back prop	neural network learning	100.0	seed	label
batch gradient descent	learning rate	100.0	seed	label
batch gradient descent	mini-batch gradient descent	100.0	seed	label
batch gradient descent	mini-batch size	100.0	seed	label
bayesian approach	bayesian inference	100.0	seed	label
bayesian inference	gibbs sampler	150.0	seed	wiki_label
bayesian inference	latent dirichlet allocation	150.0	seed	wiki_label
bias problem	regularization	100.0	seed	label
bias unit	back prop	100.0	seed	label
bias unit	forward propagation	100.0	seed	label
bias variance trade-off	regularization	100.0	seed	label
big data sets	batch gradient descent	100.0	seed	label
big data sets	deep learning	100.0	seed	label
big data sets	deep neural network	100.0	seed	label
big data sets	document retrieval	100.0	seed	label
big data sets	neural network	100.0	seed	label
big data sets	recommender system	100.0	seed	label
binary classification	multi-class classification	150.0	seed	wiki_label
binary classification	neural network	150.0	seed	wiki_label
binary classification	regularization	100.0	seed	label
boosting algorithm	adaboost	100.0	seed	label
character recognition	character segmentation	100.0	seed	label
character recognition	photo ocr	100.0	seed	label
classification accuracy	confusion matrix	100.0	seed	label
classification accuracy	cross validation	100.0	seed	label
classification accuracy	error analysis	100.0	seed	label
classification accuracy	f1 score	100.0	seed	label
classification accuracy	false negative	100.0	seed	label
classification accuracy	false positives	100.0	seed	label
classification accuracy	true negatives	100.0	seed	label
classification accuracy	true positives	100.0	seed	label
classification accuracy	validation set	100.0	seed	label
classification approach	binary classification	100.0	seed	label
classification approach	character recognition	100.0	seed	label
classification approach	linear classifier	100.0	seed	label
classification approach	logistic regression	100.0	seed	label
classification approach	multi-class classification	100.0	seed	label
classification approach	neural network	100.0	seed	label
classification approach	sentiment analysis	100.0	seed	label
classification approach	test error	100.0	seed	label
classification approach	training error	100.0	seed	label
classification approach	variance problem	100.0	seed	label
classification error	confusion matrix	100.0	seed	label
classification error	cross validation	100.0	seed	label
classification error	cross validation error	100.0	seed	label
classification error	false negative	100.0	seed	label
classification error	false positives	100.0	seed	label
classification error	overfitting	100.0	seed	label
classification error	precision recall curve	100.0	seed	label
classification error	regularization	100.0	seed	label
classification error	test error	100.0	seed	label
classification error	training error	100.0	seed	label
classification error	true negatives	100.0	seed	label
classification error	true positives	100.0	seed	label
classification error	underfitting	100.0	seed	label
classification error	validation error	100.0	seed	label
classification problem	back prop	100.0	seed	label
classification problem	binary classification	100.0	seed	label
classification problem	classification accuracy	100.0	seed	label
classification problem	classification approach	100.0	seed	label
classification problem	classification error	100.0	seed	label
classification problem	decision boundaries	100.0	seed	label
classification problem	decision tree	100.0	seed	label
classification problem	deep learning	100.0	seed	label
classification problem	forward propagation	100.0	seed	label
classification problem	image classification	100.0	seed	label
classification problem	linear classifier	100.0	seed	label
classification problem	logistic regression	100.0	seed	label
classification problem	misclassification error	100.0	seed	label
classification problem	multi-class classification	100.0	seed	label
classification problem	neural network	100.0	seed	label
classification problem	neural network learning	100.0	seed	label
classification problem	support vector machine	100.0	seed	label
cluster	agglomerative clustering	100.0	seed	label
cluster	cluster center	100.0	seed	label
cluster	clustering algorithm	100.0	seed	label
cluster	collaborative filtering	100.0	seed	label
cluster	hierarchical clustering	100.0	seed	label
cluster	k means	100.0	seed	label
cluster	k-means objective	100.0	seed	label
cluster center	hierarchical clustering	100.0	seed	label
cluster center	k means	100.0	seed	label
cluster center	k-means objective	100.0	seed	label
clustering algorithm	agglomerative clustering	100.0	seed	label
clustering algorithm	cluster center	100.0	seed	label
clustering algorithm	hierarchical clustering	100.0	seed	label
clustering algorithm	k means	100.0	seed	label
clustering algorithm	k-means objective	100.0	seed	label
computer vision	character recognition	100.0	seed	label
computer vision	face detection	150.0	seed	wiki_label
computer vision	image classification	100.0	seed	label
computer vision	image retrieval	150.0	seed	wiki_label
computer vision	ocr problem	100.0	seed	label
computer vision	pedestrian detection	150.0	seed	wiki_label
computer vision	photo ocr	100.0	seed	label
conditional distribution	bayesian inference	100.0	seed	label
conditional distribution	gaussian density	100.0	seed	label
conditional distribution	gibbs sampler	100.0	seed	label
conditional distribution	joint model probability	100.0	seed	label
conditional distribution	latent dirichlet allocation	100.0	seed	label
conditional distribution	maximum likelihood	100.0	seed	label
conditional distribution	maximum likelihood estimate	100.0	seed	label
conditional distribution	probabilistic model	100.0	seed	label
convex function	error cost function	100.0	seed	label
convex function	gradient ascent	100.0	seed	label
convex function	gradient descent	150.0	seed	wiki_label
convex function	normal equation	100.0	seed	label
convex function	stochastic gradient algorithm	150.0	seed	wiki_label
covariance matrix	gaussian model	100.0	seed	label
covariance matrix	multivariate gaussian distribution	100.0	seed	label
covariance matrix	multivariate gaussian model	100.0	seed	label
covariance matrix	pca algorithm	100.0	seed	label
covariance matrix	principle components	100.0	seed	label
covariance matrix	probabilistic model	100.0	seed	label
cross validation	model complexity	100.0	seed	label
cross validation	model selection	100.0	seed	label
cross validation error	model complexity	100.0	seed	label
cross validation error	model selection	100.0	seed	label
cross validation sets	cross validation error	100.0	seed	label
cross validation sets	model selection	100.0	seed	label
data representation	deep learning	100.0	seed	label
data representation	deep neural network	100.0	seed	label
data representation	feature engineering	100.0	seed	label
data representation	feature space	100.0	seed	label
data representation	feature vector	100.0	seed	label
data representation	features	100.0	seed	label
data representation	neural network	100.0	seed	label
data set	agglomerative clustering	100.0	seed	label
data set	anomalous example	100.0	seed	label
data set	anomaly detection	150.0	seed	wiki_label
data set	bayesian inference	150.0	seed	wiki_label
data set	bias problem	100.0	seed	label
data set	bias variance trade-off	100.0	seed	label
data set	big data sets	100.0	seed	label
data set	binary classification	150.0	seed	wiki_label
data set	boosting algorithm	100.0	seed	label
data set	character recognition	100.0	seed	label
data set	classification accuracy	100.0	seed	label
data set	classification approach	100.0	seed	label
data set	classification error	100.0	seed	label
data set	classification problem	100.0	seed	label
data set	clustering algorithm	100.0	seed	label
data set	collaborative filtering	150.0	seed	wiki_label
data set	computer vision	150.0	seed	wiki_label
data set	confusion matrix	150.0	seed	wiki_label
data set	cross validation	100.0	seed	label
data set	cross validation error	100.0	seed	label
data set	cross validation sets	100.0	seed	label
data set	decision boundaries	150.0	seed	wiki_label
data set	decision tree	150.0	seed	wiki_label
data set	deep learning	150.0	seed	wiki_label
data set	deep neural network	100.0	seed	label
data set	design matrix	150.0	seed	wiki_label
data set	dimensionality reduction	100.0	seed	label
data set	document retrieval	150.0	seed	wiki_label
data set	face detection	150.0	seed	wiki_label
data set	feature engineering	100.0	seed	label
data set	feature extraction	150.0	seed	wiki_label
data set	feature space	100.0	seed	label
data set	gibbs sampler	150.0	seed	wiki_label
data set	image classification	100.0	seed	label
data set	image retrieval	150.0	seed	wiki_label
data set	input data	100.0	seed	label
data set	input space	100.0	seed	label
data set	labeled data	100.0	seed	label
data set	large margin classifier	100.0	seed	label
data set	lasso regression	100.0	seed	label
data set	latent dirichlet allocation	150.0	seed	wiki_label
data set	learning method	100.0	seed	label
data set	learning system	100.0	seed	label
data set	linear classifier	150.0	seed	wiki_label
data set	linear regression	150.0	seed	wiki_label
data set	logistic regression	150.0	seed	wiki_label
data set	machine learning	150.0	seed	wiki_label
data set	machine learning algorithm	100.0	seed	label
data set	machine learning system	100.0	seed	label
data set	massive training set	100.0	seed	label
data set	mixture model	150.0	seed	wiki_label
data set	model selection	150.0	seed	wiki_label
data set	multi-class classification	150.0	seed	wiki_label
data set	negative example	100.0	seed	label
data set	neural network	150.0	seed	wiki_label
data set	non-anomalous examples	100.0	seed	label
data set	online learning	100.0	seed	label
data set	pca algorithm	100.0	seed	label
data set	photo ocr	100.0	seed	label
data set	positive data	100.0	seed	label
data set	positive training example	100.0	seed	label
data set	recommender system	150.0	seed	wiki_label
data set	regression model	100.0	seed	label
data set	regression problem	100.0	seed	label
data set	regularized logistic regression	100.0	seed	label
data set	sentiment analysis	150.0	seed	wiki_label
data set	supervised learning	150.0	seed	wiki_label
data set	support vector machine	150.0	seed	wiki_label
data set	test data set	150.0	seed	wiki_label
data set	training data set	150.0	seed	wiki_label
data set	transfer learning	100.0	seed	label
data set	unsupervised learning	150.0	seed	wiki_label
data set	validation set	100.0	seed	label
decision boundaries	large margin classifier	100.0	seed	label
decision boundaries	support vector	100.0	seed	label
decision boundaries	support vector machine	150.0	seed	wiki_label
decision tree	decision stamp	100.0	seed	label
deep features	deep learning	100.0	seed	label
deep features	deep neural network	100.0	seed	label
deep features	neural network	100.0	seed	label
derivative term	back prop	100.0	seed	label
derivative term	batch gradient descent	100.0	seed	label
derivative term	forward propagation	100.0	seed	label
derivative term	gradient checking	100.0	seed	label
derivative term	gradient descent	100.0	seed	label
derivative term	linear regression	100.0	seed	label
derivative term	logistic regression	100.0	seed	label
derivative term	neural network learning	100.0	seed	label
derivative term	normal equation	100.0	seed	label
derivative term	optimization algorithms	100.0	seed	label
derivative term	partial derivative	100.0	seed	label
derivative term	stochastic gradient algorithm	100.0	seed	label
design matrix	normal equation	100.0	seed	label
dimensionality reduction	pca algorithm	100.0	seed	label
dimensionality reduction	principle components	100.0	seed	label
error analysis	bias variance trade-off	100.0	seed	label
error analysis	classification error	100.0	seed	label
error analysis	cross validation error	100.0	seed	label
error analysis	false negative	150.0	seed	wiki_label
error analysis	false positives	150.0	seed	wiki_label
error analysis	learning curve	150.0	seed	wiki_label
error analysis	overfitting	100.0	seed	label
error analysis	test error	100.0	seed	label
error analysis	true positives	100.0	seed	label
error analysis	validation error	100.0	seed	label
error analysis	variance problem	100.0	seed	label
error cost function	back prop	100.0	seed	label
error cost function	forward propagation	100.0	seed	label
estimated parameters	model complexity	100.0	seed	label
estimated parameters	overfitting	100.0	seed	label
estimated parameters	regression coefficients	100.0	seed	label
evaluation metrics	bias problem	100.0	seed	label
evaluation metrics	classification accuracy	100.0	seed	label
evaluation metrics	error analysis	100.0	seed	label
