source	target	weight	kind	origin
ackermann function	inverse ackermann function	100.0	seed	label
acyclic graph	adjacency lists	100.0	seed	label
acyclic graph	breadth first search	100.0	seed	label
acyclic graph	connected component	150.0	seed	wiki_label
acyclic graph	connected graph	100.0	seed	label
acyclic graph	depth first search	100.0	seed	label
acyclic graph	directed acyclic graph	150.0	seed	wiki_label
acyclic graph	graph algorithms	100.0	seed	label
acyclic graph	graph search	100.0	seed	label
adjacency lists	adjacency matrix	100.0	seed	label
asymptotic analysis	o notation	100.0	seed	label
asymptotic notation	big omega	100.0	seed	label
asymptotic notation	o notation	100.0	seed	label
asymptotic notation	theta notation	100.0	seed	label
avl trees	red black tree	100.0	seed	label
avl trees	splay trees	100.0	seed	label
backwards search	bidirectional search	100.0	seed	label
balance trees	red black tree	100.0	seed	label
balanced binary search	avl trees	100.0	seed	label
balanced binary search	red black tree	100.0	seed	label
balanced binary search	splay trees	100.0	seed	label
balanced search	avl trees	100.0	seed	label
balanced search	balanced binary search	100.0	seed	label
balanced search	balanced search tree	100.0	seed	label
balanced search	red black tree	100.0	seed	label
balanced search	splay trees	100.0	seed	label
balanced search tree	avl trees	100.0	seed	label
balanced search tree	balanced binary search	100.0	seed	label
balanced search tree	red black tree	100.0	seed	label
balanced search tree	splay trees	100.0	seed	label
bidirectional search	bidirectional dijkstra algorithm	100.0	seed	label
big omega	sort algorithm	100.0	seed	label
big-o notation	binary search	100.0	seed	label
big-o notation	breadth first search	100.0	seed	label
big-o notation	brute force approach	100.0	seed	label
big-o notation	depth first search	100.0	seed	label
big-o notation	heap sort	100.0	seed	label
big-o notation	knockout tournament	100.0	seed	label
big-o notation	kruskal algorithm	100.0	seed	label
big-o notation	linear time algorithm	100.0	seed	label
big-o notation	merge sort	100.0	seed	label
big-o notation	mst algorithm	100.0	seed	label
big-o notation	programming algorithms	100.0	seed	label
big-o notation	quadratic time algorithm	100.0	seed	label
big-o notation	quick sort	100.0	seed	label
big-o notation	randomized algorithm	100.0	seed	label
big-o notation	randomized selection algorithm	100.0	seed	label
big-o notation	select algorithm	100.0	seed	label
big-o notation	sort algorithm	100.0	seed	label
big-o notation	spanning tree algorithm	100.0	seed	label
binary code	binary search tree	150.0	seed	wiki_label
binary code	binary tree	150.0	seed	wiki_label
binary heap	priority queue	150.0	seed	wiki_label
binary max heap	heap sort	100.0	seed	label
binary max heap	priority queue	100.0	seed	label
binary search	avl trees	100.0	seed	label
binary search	balanced binary search	100.0	seed	label
binary search	binary heap	150.0	seed	wiki_label
binary search	binary search tree	150.0	seed	wiki_label
binary search	optimal binary search	100.0	seed	label
binary search tree	avl trees	100.0	seed	label
binary search tree	balance trees	100.0	seed	label
binary search tree	balanced binary search	100.0	seed	label
binary search tree	balanced search tree	100.0	seed	label
binary search tree	optimal binary search	100.0	seed	label
binary tree	2d tree	100.0	seed	label
binary tree	avl trees	100.0	seed	label
binary tree	balanced binary search	100.0	seed	label
binary tree	balanced search tree	100.0	seed	label
binary tree	binary heap	150.0	seed	wiki_label
binary tree	binary max heap	100.0	seed	label
binary tree	binary search tree	150.0	seed	wiki_label
binary tree	complete binary tree	100.0	seed	label
binary tree	heap sort	100.0	seed	label
binary tree	interval search tree	100.0	seed	label
binary tree	optimal binary search	100.0	seed	label
binary tree	red black tree	100.0	seed	label
binary tree	splay trees	100.0	seed	label
birthday paradox	hash tables	100.0	seed	label
breadth first search	a star	100.0	seed	label
breadth first search	bellman-ford algorithm	100.0	seed	label
breadth first search	edmonds-karp algorithm	100.0	seed	label
breadth first search	ford-fulkerson algorithm	100.0	seed	label
breadth first search	mst algorithm	100.0	seed	label
brute force approach	a star	100.0	seed	label
brute force approach	asymptotic notation	100.0	seed	label
brute force approach	dynamic program	100.0	seed	label
brute force approach	dynamic programming paradigm	100.0	seed	label
brute force approach	optimal binary search	100.0	seed	label
brute force approach	optimal substructure lemma	100.0	seed	label
brute force approach	traveling salesman problem	100.0	seed	label
clustering problem	greedy clustering	100.0	seed	label
comparison based algorithm	heap sort	100.0	seed	label
comparison based algorithm	merge sort	100.0	seed	label
comparison based algorithm	quick sort	100.0	seed	label
comparison based algorithm	randomized quick sort	100.0	seed	label
